Frequency,Magnitude,Phase
10000.0,0.06250556955013548,84.1583788847637
10476.157527896641,0.06543499775109592,83.77075979502239
10974.987654930568,0.06849455759630033,83.35444363693405
11497.569953977356,0.07168852815723518,82.90716985678957
12045.035402587811,0.07502099404375258,82.42650879199623
12618.56883066021,0.07849575404954691,81.90985401778849
13219.411484660288,0.08211620931820578,81.35441593977573
13848.863713938747,0.08588522732481113,80.75721721621416
14508.287784959402,0.08980497754203635,80.11509074763379
15199.11082952933,0.09387673429958268,79.42468115399744
15922.82793341094,0.09810064212385769,78.6824508721117
16681.005372000593,0.10247543886559783,77.88469224732005
17475.28400007683,0.10699813233223335,77.02754725836554
18307.382802953696,0.11166362713414739,76.10703679134822
19179.10261672489,0.11646430027971544,75.11910164758784
20092.33002565046,0.12138952701744275,74.0596576982358
21049.04144512022,0.12642516286948047,72.92466773679352
22051.307399030455,0.13155299407919277,71.71023256072067
23101.29700083158,0.13675017709296294,70.41270354466336
24201.282647943834,0.14198869832382918,69.02881833947346
25353.644939701113,0.14723489807157286,67.55586021872706
26560.87782946684,0.15244911631545208,65.99183987691282
27825.59402207126,0.15758553157733438,64.335696072985
29150.53062825176,0.1625922746201248,62.587508399173764
30538.555088334124,0.16741190283199062,60.748711761594436
31992.671377973846,0.17198231445045964,58.82229820334101
33516.02650938841,0.17623816001625658,56.81298803428959
35111.91734215135,0.18011276863424946,54.727349635904346
36783.79771828634,0.18354054878402307,52.57384670857228
38535.28593710528,0.186459752261756,50.36279400497429
40370.17258596558,0.18881541557743006,48.10620830918394
42292.42874389499,0.19056223073274595,45.817550522371995
44306.21457583878,0.19166706345349674,43.51136631492533
46415.88833612782,0.1921108452371645,41.20284518297612
48626.015800653535,0.19188962130359316,38.907328648850054
50941.38014816386,0.19101463335624122,36.63980552884261
53366.99231206313,0.18951143635357423,34.41443407672607
55908.10182512223,0.18741816790704605,32.2441269699252
58570.20818056673,0.18478318356735582,30.140226401793072
61359.072734131754,0.1816623246327409,28.11228485679828
64280.73117284319,0.17811609208878548,26.167954795077783
67341.50657750828,0.1742069669351747,24.312979580156288
70548.02310718645,0.1699970570888094,22.551269996917664
73907.22033525775,0.1655461803414139,20.885046211826214
77426.36826811278,0.1609104255196544,19.315023833379158
81113.08307896872,0.15614117941585717,17.840624129431195
84975.34359086439,0.15128456938226428,16.460191525409183
89021.50854450393,0.14638125058139195,15.171205352751429
93260.334688322,0.14146645993398652,13.970476733410392
97700.99572992246,0.13657026184618537,12.85432500583269
102353.10218990268,0.13171791989545592,11.818730976454617
107226.72220103232,0.1269303405594901,10.859466447919031
112332.40329780265,0.1222245474518766,9.972200973965546
117681.19524349991,0.11761415593435653,9.15258772477137
123284.67394420659,0.11310982766921703,8.39633084011579
129154.96650148826,0.10871969241895582,7.699236822112624
135304.77745798076,0.10444973026636069,7.0572524786394215
141747.4162926805,0.1003041116528192,6.4664917556574775
148496.82622544636,0.09628549551504012,5.923253552702565
155567.61439304723,0.09239528764049418,5.424032343721766
162975.08346206436,0.08863386242810617,4.965523153103808
170735.26474706922,0.08500075175618689,4.544622181049956
178864.9529057435,0.08149480480029209,4.158424142311485
187381.74228603867,0.07811432254268723,3.804217181407202
196304.06500402724,0.07485717046937981,3.479476055989038
205651.23083486516,0.07172087262838796,3.1818541363085164
215443.46900318866,0.06870268987023685,2.909174649991997
225701.97196339216,0.0657996847384581,2.6594215043798077
236448.9412645407,0.06300877514233416,2.4307299403266986
247707.6355991714,0.0603267786363706,2.2213772085946633
259502.42113997374,0.05775044885560117,2.0297734100969977
271858.824273294,0.05527650541392324,1.8544526019287684
284803.5868435805,0.05290165836311506,1.6940642403452753
298364.724028334,0.050622628130640925,1.5473650079540986
312571.58496882353,0.04843616170184594,1.4132110539869458
327454.9162877732,0.04633904568350272,1.2905506624854404
343046.9286314919,0.04432811677776034,1.1784173526539565
359381.36638046254,0.042400270105434325,1.075923407766137
376493.58067924716,0.04055246574259855,0.9822538232694698
394420.6059437656,0.038781733772224714,0.8966606606437826
413201.24001153343,0.037085178101109076,0.8184577907622261
432876.12810830615,0.03545997924975304,0.7470160086822827
453487.8508128582,0.03390339628770862,0.6817585007270912
475081.0162102793,0.0324127680578915,0.6221566442217391
497702.35643321136,0.030985513809431594,0.5677261201822812
521400.82879996847,0.02961913333887726,0.5180233195052932
546227.7217684337,0.02831120672325579,0.4726420236862387
572236.765935022,0.02705939371500769,0.43121034173841705
599484.2503189408,0.02586143285764413,0.39338788573862044
628029.1441834259,0.02471514037171396,0.3588631682510742
657933.2246575683,0.023618408852968304,0.32735120574720944
689261.2104349695,0.022569205818190115,0.2985913130219529
722080.9018385471,0.02156557212879544,0.27234507449048334
756463.3275546291,0.02060562031781375,0.24839447911954549
792482.8983539186,0.01968753284207223,0.2265402065953069
830217.5681319752,0.018809560278216692,0.20660005314864813
869749.0026177834,0.01797001947849324,0.18840748624405756
911162.7561154906,0.01716729169991582,0.17181031808722344
954548.4566618347,0.01639982071847828,0.15666948861710622
1000000.0,0.015666110938385814,0.14285794932014803
